Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1961","1961","kg/ha","9466.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1962","1962","kg/ha","8766.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1963","1963","kg/ha","9716.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1964","1964","kg/ha","9174.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1965","1965","kg/ha","9869.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1966","1966","kg/ha","9211","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1967","1967","kg/ha","8957.2","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1968","1968","kg/ha","9757.2","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1969","1969","kg/ha","9977.9","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1970","1970","kg/ha","11909","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1971","1971","kg/ha","10191.1","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1972","1972","kg/ha","9968.8","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1973","1973","kg/ha","9896.9","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1974","1974","kg/ha","9500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1975","1975","kg/ha","10000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1976","1976","kg/ha","10185.2","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1977","1977","kg/ha","10000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1978","1978","kg/ha","10909.1","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1979","1979","kg/ha","10434.8","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1980","1980","kg/ha","9583.3","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1981","1981","kg/ha","9166.7","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1982","1982","kg/ha","9360","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1983","1983","kg/ha","9045.5","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1984","1984","kg/ha","9372.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1985","1985","kg/ha","11246.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1986","1986","kg/ha","11313.2","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1987","1987","kg/ha","10773.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1988","1988","kg/ha","11461.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1989","1989","kg/ha","10613.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1990","1990","kg/ha","11653.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1991","1991","kg/ha","10193.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1992","1992","kg/ha","10593.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1993","1993","kg/ha","10593.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1994","1994","kg/ha","10592.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1995","1995","kg/ha","10667.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1996","1996","kg/ha","10664.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1997","1997","kg/ha","11881.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1998","1998","kg/ha","10746.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","1999","1999","kg/ha","9599.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2000","2000","kg/ha","9700","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2001","2001","kg/ha","9601.2","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2002","2002","kg/ha","9901.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2003","2003","kg/ha","10402.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2004","2004","kg/ha","11001.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2005","2005","kg/ha","10990.2","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2006","2006","kg/ha","12000.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2007","2007","kg/ha","11202.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2008","2008","kg/ha","11800.4","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2009","2009","kg/ha","11767.9","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2010","2010","kg/ha","12215.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2011","2011","kg/ha","11210.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2012","2012","kg/ha","7958.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2013","2013","kg/ha","7032.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2014","2014","kg/ha","7655.4","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2015","2015","kg/ha","7265.9","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2016","2016","kg/ha","9076.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2017","2017","kg/ha","9073.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2018","2018","kg/ha","9403.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2019","2019","kg/ha","5827.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2020","2020","kg/ha","5779.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2021","2021","kg/ha","5835.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2022","2022","kg/ha","6065.5","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1961","1961","kg/ha","892.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1962","1962","kg/ha","1178.9","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1963","1963","kg/ha","1203.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1964","1964","kg/ha","1229.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1965","1965","kg/ha","1228.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1966","1966","kg/ha","1243.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1967","1967","kg/ha","1469.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1968","1968","kg/ha","1502.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1969","1969","kg/ha","1259.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1970","1970","kg/ha","1345.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1971","1971","kg/ha","1276.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1972","1972","kg/ha","1886.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1973","1973","kg/ha","1305.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1974","1974","kg/ha","1951.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1975","1975","kg/ha","1931","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1976","1976","kg/ha","1267.4","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1977","1977","kg/ha","1658.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1978","1978","kg/ha","1763.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1979","1979","kg/ha","1875","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1980","1980","kg/ha","1981.8","X","Figure from international organizations",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1981","1981","kg/ha","2068.3","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1982","1982","kg/ha","2083.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1983","1983","kg/ha","2031.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1984","1984","kg/ha","2000","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1985","1985","kg/ha","2134.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1986","1986","kg/ha","2023.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1987","1987","kg/ha","2389.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1988","1988","kg/ha","1999","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1989","1989","kg/ha","1999.4","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1990","1990","kg/ha","2069.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1991","1991","kg/ha","1952.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1992","1992","kg/ha","1959.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1993","1993","kg/ha","1959.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1994","1994","kg/ha","1416","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1995","1995","kg/ha","1625.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1996","1996","kg/ha","1749.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1997","1997","kg/ha","1595.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1998","1998","kg/ha","1602.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","1999","1999","kg/ha","1495.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","2000","2000","kg/ha","1499.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","2001","2001","kg/ha","1300","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","2002","2002","kg/ha","1340","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","2003","2003","kg/ha","1410","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","2004","2004","kg/ha","1419.9","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","2005","2005","kg/ha","1430.2","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","2006","2006","kg/ha","1483.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","2007","2007","kg/ha","1299.9","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","2008","2008","kg/ha","1754.4","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","2009","2009","kg/ha","1930.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","2010","2010","kg/ha","1838.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","2011","2011","kg/ha","2032.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","2012","2012","kg/ha","1897.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","2013","2013","kg/ha","1645.4","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","2014","2014","kg/ha","2147.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","2015","2015","kg/ha","2302.2","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","2016","2016","kg/ha","2564.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","2017","2017","kg/ha","2448.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","2018","2018","kg/ha","2670.9","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","2019","2019","kg/ha","2044.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","2020","2020","kg/ha","1947.9","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","2021","2021","kg/ha","1931","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0113","Rice","2022","2022","kg/ha","1856.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1961","1961","kg/ha","7777.8","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1962","1962","kg/ha","7777.8","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1963","1963","kg/ha","8181.8","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1964","1964","kg/ha","8333.3","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1965","1965","kg/ha","8571.4","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1966","1966","kg/ha","9416.4","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1967","1967","kg/ha","10124.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1968","1968","kg/ha","7708.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1969","1969","kg/ha","9381.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1970","1970","kg/ha","9727.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1971","1971","kg/ha","7901.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1972","1972","kg/ha","7403.4","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1973","1973","kg/ha","7315.4","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1974","1974","kg/ha","10670.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1975","1975","kg/ha","11109.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1976","1976","kg/ha","9655.4","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1977","1977","kg/ha","11050.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1978","1978","kg/ha","12271.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1979","1979","kg/ha","10927.2","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1980","1980","kg/ha","10538.2","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1981","1981","kg/ha","5628.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1982","1982","kg/ha","5632.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1983","1983","kg/ha","5628.4","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1984","1984","kg/ha","5637.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1985","1985","kg/ha","5640.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1986","1986","kg/ha","5637.4","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1987","1987","kg/ha","6506","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1988","1988","kg/ha","9766.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1989","1989","kg/ha","10433.2","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1990","1990","kg/ha","10677.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1991","1991","kg/ha","10345.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1992","1992","kg/ha","11348.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1993","1993","kg/ha","11349.4","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1994","1994","kg/ha","11399.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1995","1995","kg/ha","10773.4","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1996","1996","kg/ha","10681.9","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1997","1997","kg/ha","11047.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1998","1998","kg/ha","9435.4","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","1999","1999","kg/ha","9901.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2000","2000","kg/ha","9898.4","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2001","2001","kg/ha","9799","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2002","2002","kg/ha","9989.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2003","2003","kg/ha","10501.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2004","2004","kg/ha","11200.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2005","2005","kg/ha","11498.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2006","2006","kg/ha","12098.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2007","2007","kg/ha","9969.9","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2008","2008","kg/ha","11499.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2009","2009","kg/ha","10479.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2010","2010","kg/ha","13010.9","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2011","2011","kg/ha","7403.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2012","2012","kg/ha","7201.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2013","2013","kg/ha","7000.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2014","2014","kg/ha","8194.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2015","2015","kg/ha","8182.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2016","2016","kg/ha","9159.9","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2017","2017","kg/ha","9385.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2018","2018","kg/ha","10199.9","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2019","2019","kg/ha","7806.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2020","2020","kg/ha","7904.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2021","2021","kg/ha","7986.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01540","Yams","2022","2022","kg/ha","8175.9","E","Estimated value",""
